Year,Dependency Ratio
1860,63.193680154207755
1861,63.9994165180716
1862,64.48644083435649
1863,64.95503434051531
1864,65.00654003235275
1865,65.07346014117942
1866,65.48697125729238
1867,66.00845117811798
1868,65.63606794076668
1869,64.91940113367492
1870,65.28844514407388
1871,65.55671442065491
1872,65.65624823332405
1873,65.21964498462278
1874,64.38833698632736
1875,63.936312739814326
1876,63.84153019410377
1877,63.49476307608624
1878,62.64234326898024
1879,62.42634520760977
1880,62.5832026448221
1881,62.594437164280215
1882,63.0835950713593
1883,64.01443910071993
1884,64.61524720386646
1885,65.08829116199969
1886,65.72340091405951
1887,66.94018163189467
1888,68.03534213406782
1889,68.60473698466338
1890,69.44421721949612
1891,69.90423597501008
1892,69.7021743812069
1893,69.90362213820441
1894,69.5192346492235
1895,69.62392305363474
1896,69.52071301228287
1897,69.34112337187338
1898,69.42531328127902
1899,68.9255795194965
1900,68.94536948199469
1901,68.70245978538733
1902,68.57943245783935
1903,68.30327455886918
1904,68.0380525156146
1905,67.91791220382221
1906,67.74298280848582
1907,67.76780171270804
1908,67.4216097709886
1909,67.534281190193
1910,67.08347755157365
1911,66.6397712380506
1912,66.13071288207051
1913,65.70518811089757
1914,65.39949654500809
1915,64.47434336827
1916,63.59891319852312
1917,62.52522275312269
1918,61.842986539460476
1919,60.92143797408155
1920,60.48980672419431
1921,59.766218133979166
1922,58.835789941132134
1923,58.23829915721419
1924,57.20416452672471
1925,56.40411919817324
1926,55.39565547846503
1927,54.26038204759429
1928,53.323462003836354
1929,52.33996858153679
1930,51.627850370528726
1931,50.55495102309857
1932,49.46844035111187
1933,48.34026169604504
1934,47.34120686141995
1935,45.668609068290436
1936,44.51451869947983
1937,43.696147286720674
1938,43.141075604053
1939,42.75908770923473
1940,42.50246527534705
1941,42.46968017634155
1942,43.1091573507145
1943,43.902724208398205
1944,45.01533604108133
1945,45.965351937580294
1946,46.966661524187394
1947,47.83390857521653
1948,48.9343013825198
1949,49.94478629128928
1950,50.78753173959761
1951,51.40881044283421
1952,52.075775382486015
1953,52.63643882066792
1954,52.89021359976703
1955,53.257802993799984
1956,53.57893001553128
1957,53.36922314125025
1958,52.92652414627922
1959,52.275580188824414
1960,51.58306750247299
1961,50.98855898551761
1962,50.552830480941466
1963,50.36213042293758
1964,50.47877209384547
1965,50.81072952754416
1966,51.34981174594898
1967,51.88830491993258
1968,52.19910943331343
1969,52.52442852430733
1970,52.8809803931584
1971,53.48416147529419
1972,54.147943649002606
1973,54.819433075859436
1974,55.497314493935725
1975,56.04637643248677
1976,56.364490692091486
1977,56.59943612113166
1978,56.519247696781306
1979,56.1807963123093
1980,55.75240610079193
1981,55.29973401550752
1982,54.89869577930702
1983,54.65214756772853
1984,54.58238162552157
1985,55.00922009478069
1986,55.19341047162493
1987,55.23024270029329
1988,55.31294255548348
1989,55.38819550365645
1990,55.733660223137825
1991,56.165009438603185
1992,56.570474080708244
1993,56.905890293917224
1994,57.05393026686435
1995,57.00491863099821
1996,56.82353099714209
1997,56.57299082837666
1998,56.210362224083674
1999,55.75955719375586
2000,55.263500577772795
2001,54.75859893423226
2002,54.28265897828981
2003,53.81343195852368
2004,53.42517786741616
2005,52.79234544588379
2006,52.33868356515033
2007,52.21712838573123
2008,52.52190525277878
2009,53.11429640668257
2010,54.01609424596765
2011,55.10272710604347
2012,56.250458856156826
2013,57.42712545188521
2014,58.4306904027314
2015,59.23025832894619
2016,59.73572955244928
2017,60.14510194687202
2018,60.4798309579442
2019,60.68062347440279
2020,60.83421619977404
2021,60.9422465958278
2022,60.749105544933904
